ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature,class
41447.4,41448.5,3072.1,3072,3071.8,2694.1,2694.4,2694.7,7189.6,7188.7,7188.6,2248.8,2248.7,2249.3,5069.8,5070.1,115437.2,115427,14742.9,14748.3,14734.3,3222.4,3220.8,3220.2,3495.8,3495.6,3495.6,5537.2,5536.2,5537.2,22264.5,22265.9,38073.3,38095.2,8159.8,8159.4,8158.5,4424.4,4423.2,4424.2,6732.6,6732.3,6733.5,5132.3,5133.4,5133.7,88468.4,88453.4,4965.7,4966,1711.1,1710.2,1710.2,4240.4,4240.7,4241.7,2431.4,2431.3,2431.2,2612.2,2612.3,2613,6072,6070.9,16.709999,27.690001,5
41453.7,41446.8,3072.4,3071.4,3071.1,2693.9,2693.9,2693.9,7188.9,7188.6,7188.9,2248.7,2248.8,2249,5069.9,5069.5,115373.6,115358.2,14737.5,14733.1,14736.7,3223.8,3222.3,3221.4,3494.7,3494.9,3494.9,5538.6,5539.2,5538.7,22270.3,22271.3,38073.4,38070,8160.5,8159.7,8158.7,4423.9,4423.6,4424.1,6735,6734.2,6733.7,5138.8,5137.8,5137.6,88460.4,88450.7,4964.8,4964.7,1711,1709.7,1709.6,4240.1,4239.6,4240.6,2431.5,2431.2,2431.6,2613.6,2613.1,2613.8,6071.7,6070.9,16.809999,27.719999,5
41470.1,41460.7,3071.7,3071.1,3072,2694.3,2694,2693.9,7189,7189.3,7189.1,2247.6,2247.7,2248.3,5069.4,5069.7,115364.8,115410.2,14739.4,14737.6,14741.6,3224.2,3222.6,3221.5,3494.9,3494.9,3494.9,5536.9,5535.9,5536.3,22270.5,22270.2,38090.2,38087.2,8159.3,8159,8160.6,4424.6,4424.3,4424.5,6735.2,6733.5,6734.4,5136.9,5137.1,5138.1,88492.6,88484.4,4964.1,4964.7,1710.6,1709.2,1709.2,4239.7,4239.2,4240,2431.7,2431.3,2431.2,2613.6,2612.3,2613.3,6071.5,6071.3,16.65,27.719999,5
41447.6,41441.4,3072.6,3072.1,3072.4,2694,2694,2694.6,7188.3,7187.5,7187.5,2247.7,2248.2,2248.5,5068.4,5068.6,115328.1,115263.8,14741.3,14726.5,14730.1,3222.7,3221.8,3220.8,3494.6,3494.8,3495.3,5535.7,5535.2,5535.6,22266,22270.2,38076.5,38060.5,8160.6,8160.4,8161,4423.9,4423.2,4423.7,6734,6732.1,6733.3,5136.7,5135.4,5136.1,88435.6,88434.4,4963.8,4963.7,1710.8,1709.4,1709.6,4239.3,4239.7,4240,2431.4,2430.7,2431.1,2613.2,2613.8,2613.5,6070.5,6069.8,16.43,27.73,5
41440.3,41436.9,3072.1,3071.1,3071.1,2693.1,2693.6,2693.4,7188.4,7187.9,7187.8,2248.4,2247.9,2249,5068.6,5068,115394.1,115403.8,14738.4,14739.8,14744.2,3223.1,3221.5,3221.2,3494.7,3494.5,3494.5,5535.9,5534.2,5534.8,22268.1,22262.7,38068.4,38085.2,8158.9,8157.7,8157.3,4424.5,4424,4425.1,6734.9,6734.3,6734.3,5135.9,5134.9,5135.5,88455.2,88457,4963.6,4963.7,1710.9,1709.5,1709.5,4239,4238.6,4239.9,2432,2431.4,2432,2611.7,2611.4,2612.3,6072.4,6072,16.59,27.74,5
41461.7,41464,3071.7,3070.6,3070.9,2693.3,2693.1,2693.6,7188.7,7188.2,7188.6,2248.4,2248.9,2248.7,5068.5,5068.4,115256.2,115323.1,14737.5,14736.4,14731.1,3223.6,3222.4,3221.9,3494.5,3494.6,3494.7,5536.6,5536.8,5535.8,22269.9,22271.5,38079.2,38079.2,8158.8,8158,8159,4424.3,4423.9,4424.7,6732.9,6730.8,6732.4,5136,5136.7,5137.4,88427.2,88440.1,4964.2,4964.2,1710.7,1709.7,1709.4,4239,4238.5,4239.2,2431.5,2430.9,2431.4,2612.4,2611.5,2611.8,6073.1,6072.3,16.620001,27.74,5
41461,41454.8,3071.6,3071.1,3071.8,2694.1,2694.1,2694.1,7188,7187.4,7187.9,2247.8,2247.5,2248.2,5068.2,5067.9,115374.4,115385.1,14725.1,14733.2,14736.7,3223.4,3222,3221.7,3494.2,3493.8,3494.2,5536.9,5538.2,5536.1,22265.2,22260.8,38078.2,38071.7,8158.8,8158.4,8157,4424.6,4423.1,4423.9,6733.9,6732.2,6732.3,5137.2,5138.7,5137.7,88403,88418,4963.5,4963.2,1710.8,1709.5,1709.5,4238.2,4238.1,4239.2,2431.9,2431.3,2431,2611.2,2610.9,2611.8,6072.9,6072.5,16.469999,27.719999,5
41452.4,41449.6,3071.5,3071.2,3071.7,2693.4,2693.5,2693.4,7188,7187.9,7187.4,2247.8,2247.7,2248,5068.1,5067.3,115251,115316.1,14728.3,14731.9,14736.3,3223.3,3221.9,3221.5,3494,3493.8,3493.7,5535.5,5534.6,5536.6,22268.7,22269.5,38072.6,38089.1,8159.6,8159.3,8157.9,4423.6,4422.8,4423.2,6732.4,6731.8,6731,5135.5,5138.4,5134.6,88359.2,88383.8,4962.1,4962.9,1710.7,1709.7,1709.9,4237.6,4237.1,4238.5,2431.2,2430.8,2430.7,2612.6,2612.2,2612.9,6070.1,6070.5,16.389999,27.719999,5
41455.5,41454,3071.3,3070.9,3071,2692.8,2692.6,2692.5,7186.7,7185.7,7185.9,2248.2,2249,2248.8,5067.8,5067.3,115280.2,115229.4,14734.9,14731.5,14728.2,3222.2,3221,3220.4,3493.6,3494.1,3493.6,5535.3,5534.5,5535.3,22256,22256.3,38058.2,38093.5,8158.7,8157.1,8156.9,4424.2,4423.2,4423.5,6732.9,6732.1,6732,5134.9,5135,5135.3,88439.5,88405.6,4961.8,4962.1,1710.7,1709.7,1709.3,4237.4,4237.2,4238.1,2430.9,2430.4,2430.4,2611.6,2611.7,2612.2,6070.7,6068.9,16.25,27.700001,5
41465.5,41458.1,3071.3,3070.5,3070.4,2692.4,2693,2692.6,7184.7,7183.9,7184.8,2247.7,2247.2,2247.7,5066.7,5066.9,115226.6,115309.7,14730.7,14725.2,14728,3221.9,3220.8,3220.3,3493.3,3493.6,3493.8,5534.3,5533.4,5534.1,22252.7,22249.6,38105.4,38110.9,8157.4,8157.7,8157.3,4422.4,4421.9,4422.4,6731.6,6730.3,6730.5,5135.5,5132.6,5136.1,88359.7,88371.1,4961.3,4961.1,1710.8,1709.3,1709.4,4236,4235.8,4237,2431.3,2430,2430.6,2610.5,2609.6,2610.4,6068.8,6070,16.1,27.73,5
41473.8,41466.8,3070.3,3070,3070.1,2692.9,2692.5,2692.7,7183.6,7183.2,7183.5,2246.6,2247,2247.5,5066.1,5065.8,115271.7,115263.6,14731.6,14729.7,14727.7,3221.4,3220.2,3219.3,3493.7,3493.3,3493.3,5533.5,5533.4,5533.3,22246,22251.2,38090.6,38125.9,8159.3,8159,8160.4,4421.6,4421.1,4422.2,6729.3,6728,6728.4,5131.5,5130.5,5133.2,88357.8,88355.3,4960.9,4960.5,1710.7,1709,1708.9,4235.3,4235.7,4235.9,2430.5,2429.4,2429.5,2610.8,2611.1,2612.3,6067.3,6067.4,16.110001,27.73,5
41445.5,41438.3,3070,3069.2,3069.4,2692.1,2691.9,2691.8,7182.5,7182.2,7181.7,2247.4,2247.1,2247.7,5065.9,5065.7,115265.2,115234.9,14727.8,14725,14721,3221.9,3220.2,3219.7,3493.3,3492.8,3493,5534.6,5533.8,5533.7,22248.4,22252,38097.8,38105.1,8158.1,8158,8158,4422.6,4421.7,4422.5,6729.4,6729.2,6727.5,5136.4,5133.9,5134.2,88434.7,88441.2,4960.8,4961.1,1710.2,1709.2,1709.2,4234.9,4234.9,4235.7,2430.6,2429.7,2429.6,2611.3,2610.6,2612,6068.9,6067.9,16.110001,27.73,5
41432.9,41435.2,3069.7,3069.3,3069.8,2692.1,2691.5,2691.8,7181.4,7179.7,7179.9,2247.1,2247,2247.8,5065.1,5064.7,115195.6,115250,14736.3,14740.5,14736,3220.5,3219.3,3218.5,3493.3,3493,3493,5532.7,5531.9,5532.7,22256.3,22253.4,38075.7,38076.3,8157.7,8157.1,8157.1,4422.1,4421.9,4422.8,6727.8,6726.8,6726.1,5135.1,5134.1,5134.7,88432.3,88415.5,4961,4960.2,1709.8,1708.8,1708.8,4233.7,4233.9,4234.2,2430.2,2429.4,2429.7,2611.6,2611.2,2612.4,6068.6,6068.2,16.08,27.719999,5
41439.3,41440.5,3068.3,3068.1,3068,2691.8,2691.7,2691.9,7179,7178.6,7178.1,2247.1,2246.9,2247.4,5064.7,5064.4,115216.4,115191.3,14721.6,14720.6,14717.7,3220.4,3219.6,3218.7,3492.2,3492.4,3492.2,5534.1,5535.2,5534.5,22255.2,22254.5,38092.4,38066.7,8156.2,8158.3,8156.6,4420.9,4420.8,4421.3,6722.4,6723.3,6723.3,5131.3,5133.1,5133,88366.1,88391,4959.9,4960.6,1709.9,1708.8,1708.8,4232.2,4232.6,4232.6,2429.2,2429,2429,2610.5,2610.9,2611.5,6068.3,6068.2,16,27.719999,5
41439.4,41444.5,3067.7,3066.9,3067.1,2690.9,2691,2692,7176.4,7176.4,7175.5,2246.4,2246,2246.8,5064.2,5064,115241.6,115255.6,14723.9,14728.2,14719.2,3219.9,3218.7,3218.3,3492.5,3491.9,3492.4,5531.8,5531,5532.7,22254.6,22254.3,38085.6,38096.1,8157.4,8156.5,8155.8,4418.3,4417.7,4418.8,6721.3,6722,6720.7,5132,5130.2,5130.5,88348.2,88361.2,4959.5,4960.1,1709.5,1708.3,1708.3,4230.1,4230,4230.8,2428.8,2428.1,2428.4,2609.3,2609.9,2610.7,6066.1,6066.1,15.95,27.719999,5
41430.7,41433.5,3068.3,3067.4,3067.9,2690.6,2690.3,2690.8,7174.7,7173.8,7174,2244.9,2245.3,2245.8,5063.6,5063,115274.1,115186.8,14714.4,14706.6,14710.8,3219.5,3218.4,3217.7,3492.3,3492.3,3492.3,5531,5531.3,5530.7,22259.6,22258.1,38106,38120.8,8157.3,8154.6,8156,4418.1,4417.6,4418.3,6721.2,6721,6720.2,5129.5,5131.6,5131.7,88340.4,88375,4958.8,4959.3,1709.8,1708.4,1708.1,4230.6,4230.4,4230.9,2428.4,2427.6,2427.8,2608.6,2608.2,2608.5,6067.4,6066.2,15.93,27.719999,5
41451.9,41448.4,3068.9,3067.4,3067.4,2689.7,2689.7,2690,7173.9,7173.4,7173.4,2245.3,2244.7,2245.8,5063.4,5063.3,115178.9,115210.4,14722.2,14717.4,14719.3,3219.4,3217.9,3217.3,3491.5,3491.7,3491.9,5531,5530.7,5531.5,22247.6,22251.4,38090,38098,8155.5,8154.7,8155.7,4417.1,4416.2,4416.7,6720.8,6720.7,6719.8,5130.8,5127.5,5132.2,88351.8,88329.5,4958.1,4958.5,1709.6,1708,1707.9,4229.2,4229.2,4229.6,2428,2427,2427.2,2610.6,2610,2610.2,6064.5,6064.1,15.92,27.719999,5
41438.5,41439.9,3067.3,3066.6,3066.3,2689.2,2688.7,2689.8,7171.9,7171.9,7171.5,2245.8,2245.5,2245.9,5062.8,5062.7,115196.1,115262.5,14712.3,14706.7,14706.5,3218.5,3217.3,3216.9,3491.2,3491.3,3491,5532.7,5532.4,5533.3,22252,22249.8,38100.1,38090.5,8155,8154,8155.2,4417.8,4417.8,4417.8,6719.8,6718.7,6719.5,5130.5,5131,5130.3,88384.2,88386.3,4958.7,4959.2,1709.4,1708,1708.1,4228,4228.2,4228.7,2426.9,2426.4,2426.7,2609.7,2609.7,2609.3,6063.4,6064.2,15.73,27.719999,5
41425,41416.9,3067,3066.1,3066.2,2689.7,2689.1,2689.8,7170.2,7169.2,7169.5,2245,2245,2245.2,5062.4,5062.5,115297.4,115279.9,14693.9,14693.4,14694.5,3218.6,3217.4,3216.2,3490.8,3490.7,3490.7,5530.4,5530.4,5530.3,22250.9,22246.5,38089,38081.2,8153,8152.7,8152.8,4417.1,4416.4,4416.8,6716,6715.4,6714.8,5126.3,5126,5130.5,88264.1,88294.3,4957.4,4957.8,1709,1707.7,1707.5,4226.5,4225.8,4227.1,2426.4,2425.8,2426.1,2609.2,2609.8,2609.5,6064.2,6063.5,15.61,27.67,5
41419.5,41421.4,3066.1,3065.6,3066,2689.6,2689.6,2689.6,7167.8,7167.6,7167.4,2245.2,2244.8,2244.7,5061.5,5061.7,115146.9,115170.8,14696,14691.8,14695.8,3217.8,3216.5,3215.5,3490.9,3490.1,3490.4,5529,5529.6,5528.1,22244.3,22243.4,38090.2,38067.2,8151.3,8150.6,8150.8,4415.3,4414.5,4414.5,6715.5,6714.7,6713.4,5124.4,5124.5,5126.3,88281.4,88292.3,4958,4958.9,1709.3,1707.8,1707.4,4224.4,4224,4225.1,2426.4,2425.4,2425.2,2609.6,2609.6,2609.6,6064.1,6062.7,15.56,27.700001,5
41422.1,41425,3065.5,3065.5,3065.5,2689.3,2689.3,2688.8,7165.4,7165.4,7165.7,2244.5,2245.1,2245.2,5060.9,5060.9,115297.5,115357.5,14697.8,14693.3,14689.9,3217.4,3215.8,3214.7,3490.2,3490.3,3490.5,5527.7,5526.5,5527.7,22245.9,22242.6,38042.5,38028,8151.6,8150.6,8151,4414,4413.3,4414.2,6715.1,6712.7,6713,5125.2,5126.1,5126.4,88307.8,88279.8,4956.1,4956.5,1708.1,1706.9,1706.9,4222.4,4222.6,4223.5,2425.7,2424.6,2424.6,2610.4,2609.8,2610.1,6061.8,6061.6,15.55,27.67,5
41417.2,41415.7,3065.5,3064.7,3064.9,2687.9,2687.9,2688.1,7162.8,7163.1,7162.1,2243.4,2243,2244,5059.9,5059.6,115267.1,115269.9,14698.8,14693.4,14688.3,3215.7,3214.7,3214.3,3489.9,3489.7,3489.9,5528.6,5529.2,5528.5,22232.4,22238.5,38035.9,38055.1,8149.5,8149.1,8150.9,4414.5,4413.5,4414.3,6713.2,6711.9,6711.3,5126.8,5127.1,5127.3,88270.1,88270.8,4955.6,4956,1707.6,1706.6,1706.4,4221.9,4221.8,4222.4,2424.7,2424.3,2424.5,2609.6,2609,2608.7,6060.2,6059.3,15.53,27.700001,5
41404.8,41402,3064.7,3064,3063.7,2688.1,2688.2,2689.1,7160.8,7160.8,7160.6,2243.6,2243.3,2243.9,5059.5,5059.4,115288.4,115324.5,14689,14684.3,14687,3215.5,3214.5,3214.4,3489.2,3489.3,3489.3,5528.9,5528.2,5529.1,22247.4,22226.6,38042.3,38042.3,8151.7,8149.9,8150,4413.4,4412.3,4412.7,6709.6,6708.5,6707.7,5125.2,5124.9,5123.9,88234.9,88217.2,4954.1,4954.7,1707.6,1706.5,1706.6,4220.8,4221.2,4221.9,2424.2,2423.4,2423.4,2607.8,2606.7,2607.8,6061,6059.5,15.47,27.700001,5
