#csv_version,1.0.0
#measurement,"{""schema_version"":""1.0.0"",""exported_at"":""2024-01-26T19:04:16.417389Z"",""appPlatform"":""ios"",""appVersion"":""1.4.1"",""owner"":{""first_name"":""Fiaz"",""last_name"":""Shah""},""data"":{""id"":17545,""name"":""Garbage Sticker"",""measurement_type"":""take a smell"",""started_at"":""2024-01-26T18:33:38.207Z"",""stopped_at"":""2024-01-26T19:03:38.864Z"",""connection_type"":""bluetooth"",""measurement_size"":""315.9"",""measurement_duration"":1800,""fan_state"":3,""comment"":null,""device_info"":{""id"":754,""mac_address"":""10:97:BD:36:79:14"",""serial_number"":""SI2205-1474"",""device_type_info"":{""id"":1,""name"":""Smell Inspector"",""version"":""B1""},""device_firmware_info"":{""id"":4,""name"":""SI-Firmware"",""version"":""2.1.1""},""detectors_info"":[{""id"":2430,""detector_position"":""X1"",""detector"":{""id"":2421,""slot_id"":""10"",""batch_id"":""0000018"",""production_detector_id"":""00126"",""detector_type"":{""id"":7,""name"":""Type1"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2431,""detector_position"":""X2"",""detector"":{""id"":2424,""slot_id"":""01"",""batch_id"":""0000019"",""production_detector_id"":""00228"",""detector_type"":{""id"":8,""name"":""Type2"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2432,""detector_position"":""X3"",""detector"":{""id"":2422,""slot_id"":""08"",""batch_id"":""0000020"",""production_detector_id"":""00048"",""detector_type"":{""id"":9,""name"":""Type3"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2433,""detector_position"":""X4"",""detector"":{""id"":2423,""slot_id"":""01"",""batch_id"":""0000021"",""production_detector_id"":""00089"",""detector_type"":{""id"":10,""name"":""Type4"",""lower_bound"":0,""upper_bound"":350000}}}]},""measurement_substance_info"":[{""substance_info"":{""id"":3471,""category"":null,""is_public"":false,""name"":""Garbage Sticker"",""parent_substance_id"":null,""odor_name"":null,""taste_name"":null,""additional_information"":null},""concentration_value"":null,""concentration_unit"":null,""state"":null}],""measurement_events"":[]}}"
#fan_level,3
#baseLevel|2024-01-26T18:33:38.207723Z,72849.8,72788.02,37719.1,37758.59,37690.6,47446.59,47439.52,47464.44,30203.1,30196.67,30189.91,7848.03,7838.88,7848.59,10726.11,10733.95,139385.09,139779.73,49211.13,49219.82,49179.77,11116.8,11096.16,11097.04,15438.39,15458.69,15459.38,17457.27,17471.82,17457.32,36118.04,36065.73,61956.95,61942.83,18168.2,18168.18,18169.0,14097.64,14094.51,14081.64,27482.27,27452.12,27489.27,16945.04,16936.71,16945.77,122677.87,122831.5,8171.99,8174.34,6309.82,6306.25,6308.18,17371.79,17361.88,17370.42,9854.64,9865.54,9853.97,12159.89,12159.11,12158.11,10943.85,10934.96,30.17,28.49
#header:timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature
2024-01-26T18:33:38.207723Z,72849.8,72788.02,37719.1,37758.59,37690.6,47446.59,47439.52,47464.44,30203.1,30196.67,30189.91,7848.03,7838.88,7848.59,10726.11,10733.95,139385.09,139779.73,49211.13,49219.82,49179.77,11116.8,11096.16,11097.04,15438.39,15458.69,15459.38,17457.27,17471.82,17457.32,36118.04,36065.73,61956.95,61942.83,18168.2,18168.18,18169.0,14097.64,14094.51,14081.64,27482.27,27452.12,27489.27,16945.04,16936.71,16945.77,122677.87,122831.5,8171.99,8174.34,6309.82,6306.25,6308.18,17371.79,17361.88,17370.42,9854.64,9865.54,9853.97,12159.89,12159.11,12158.11,10943.85,10934.96,30.17,28.49
2024-01-26T18:33:41.567245Z,72933.3,72868.9,37680.3,37625.0,37612.26,47241.62,47270.7,47251.48,30151.89,30100.65,30148.55,7821.39,7835.04,7823.71,10726.63,10711.68,139665.45,139523.89,49209.91,49217.27,49195.52,11104.81,11106.07,11083.09,15452.15,15433.16,15451.2,17430.18,17458.98,17438.12,36067.48,36001.18,61961.01,61852.5,18168.35,18143.24,18164.84,14067.71,14083.2,14057.3,27462.76,27410.03,27448.86,16911.07,16920.26,16904.74,122760.54,122582.13,8169.44,8158.7,6292.33,6282.05,6292.27,17312.91,17333.77,17311.66,9834.78,9819.87,9841.53,12080.05,12096.47,12086.77,10931.88,10915.22,30.16,28.48
2024-01-26T18:33:44.956944Z,72856.27,72895.66,37533.46,37564.66,37510.02,47093.16,47102.08,47124.51,30110.41,30100.13,30097.9,7819.02,7817.52,7818.67,10710.45,10716.58,139550.31,139705.5,49223.66,49166.55,49223.54,11112.15,11101.9,11094.4,15438.24,15418.84,15436.63,17471.39,17457.14,17449.58,36073.42,36065.47,61865.98,61914.43,18132.23,18155.29,18182.82,14078.93,14075.33,14076.0,27440.76,27402.61,27432.12,16926.59,16905.7,16903.4,122750.87,122755.23,8167.26,8167.68,6270.1,6275.86,6266.92,17318.76,17334.93,17315.87,9817.39,9818.19,9816.58,12070.37,12075.2,12062.68,10925.67,10914.08,30.23,28.48
2024-01-26T18:33:48.374662Z,72822.0,72912.45,37469.52,37462.04,37423.66,46833.48,46865.1,46887.78,30004.45,30034.12,29988.44,7806.68,7816.77,7803.26,10709.34,10709.04,139655.03,139667.84,49177.18,48981.93,49108.49,11088.59,11092.84,11093.34,15427.26,15424.88,15425.26,17449.43,17442.81,17438.23,36026.57,36070.85,61844.25,61876.05,18171.3,18145.82,18148.36,14058.88,14053.37,14056.66,27416.36,27388.67,27424.66,16893.82,16904.35,16878.94,122742.53,122618.45,8164.3,8152.5,6265.14,6253.41,6264.3,17267.44,17284.63,17263.87,9796.18,9779.29,9794.51,12020.6,12025.29,12016.08,10929.44,10913.17,30.19,28.47
2024-01-26T18:33:51.825177Z,72843.34,72771.69,37354.14,37285.31,37326.36,46597.61,46668.6,46626.46,29989.6,29945.08,29983.71,7780.15,7791.55,7783.31,10699.3,10685.38,139888.66,139717.88,49122.0,49107.0,49183.62,11071.93,11070.97,11050.79,15396.74,15370.55,15388.22,17409.86,17429.07,17393.69,36059.13,35998.1,61850.86,61798.82,18135.38,18116.56,18133.49,14037.73,14028.0,14029.95,27357.52,27396.64,27358.4,16875.97,16864.62,16857.77,122689.74,122701.76,8156.53,8158.68,6244.94,6250.89,6244.2,17249.61,17250.75,17251.1,9788.67,9777.08,9792.7,12009.29,12006.1,12004.21,10922.22,10915.49,30.22,28.49
2024-01-26T18:33:55.186456Z,72849.27,72766.65,37348.19,37344.66,37304.43,46710.04,46704.44,46765.27,30003.22,30040.24,29994.25,7802.81,7793.11,7802.99,10698.88,10706.09,139953.97,139997.63,49303.32,49301.94,49251.25,11104.51,11084.0,11083.64,15410.55,15421.5,15409.2,17452.19,17433.98,17451.44,36064.45,36121.81,61837.36,61909.27,18140.53,18157.25,18137.65,14064.9,14045.54,14057.0,27405.52,27445.63,27411.68,16913.14,16895.26,16910.86,122698.71,122811.23,8157.52,8169.13,6267.49,6272.5,6265.72,17297.03,17279.45,17295.69,9790.88,9808.0,9792.06,12068.66,12053.06,12063.04,10920.92,10926.96,30.31,28.52
2024-01-26T18:33:58.575454Z,72830.11,72889.05,37425.93,37470.41,37379.54,46910.18,46949.72,46961.23,30020.95,30014.68,29996.6,7793.91,7780.12,7792.21,10688.38,10699.12,139957.25,139672.42,49162.62,49198.0,49168.81,11105.86,11098.62,11078.95,15410.33,15395.7,15410.44,17419.37,17440.34,17465.09,36062.27,36060.75,61786.42,61818.59,18131.65,18134.5,18109.57,14062.72,14071.46,14058.66,27410.02,27418.01,27413.08,16888.35,16886.94,16858.93,122649.84,122780.09,8153.76,8155.56,6263.07,6262.38,6261.97,17253.91,17230.41,17252.69,9794.0,9775.83,9779.75,12010.98,12003.31,12012.33,10915.51,10909.09,30.19,28.49
2024-01-26T18:34:01.965208Z,72773.41,72719.94,37018.16,36936.44,36991.03,46413.66,46399.77,46387.45,29932.06,29923.24,29917.99,7757.04,7746.02,7753.98,10677.08,10687.91,139863.67,139813.91,49031.95,49062.61,49017.07,11085.27,11073.95,11058.65,15313.54,15293.54,15310.27,17427.11,17405.02,17404.23,36037.26,36031.75,61829.62,61837.93,18103.48,18124.03,18132.85,14037.33,14042.9,14033.59,27349.26,27345.03,27352.79,16853.46,16839.69,16830.37,122608.91,122483.18,8157.57,8167.86,6270.65,6267.85,6270.79,17270.45,17265.96,17271.72,9767.44,9784.23,9769.45,12031.14,12022.59,12034.06,10907.45,10912.41,30.33,28.48
2024-01-26T18:34:05.356840Z,72706.37,72777.46,37186.32,37096.87,37174.36,46841.48,46882.08,46884.22,29986.74,29988.35,29992.32,7770.07,7779.52,7769.53,10698.87,10705.99,139900.55,140140.02,49204.66,49146.29,49193.96,11097.71,11088.43,11081.18,15324.49,15339.39,15326.77,17413.89,17432.63,17409.17,36090.93,36049.65,61814.32,61832.06,18131.94,18132.93,18137.91,14063.55,14073.85,14057.28,27406.79,27368.68,27409.53,16866.69,16881.49,16863.29,122626.48,122457.66,8160.08,8147.6,6306.47,6305.75,6305.99,17323.37,17305.27,17320.46,9823.87,9823.91,9829.3,12085.12,12085.29,12089.47,10912.65,10917.16,30.92,28.48
2024-01-26T18:34:08.745732Z,72736.97,72803.9,37330.45,37366.9,37289.3,47341.18,47383.11,47408.04,30110.75,30061.44,30110.62,7804.06,7813.4,7804.4,10714.45,10705.52,139976.56,139941.14,49390.79,49302.96,49370.05,11146.43,11146.79,11129.47,15446.99,15436.54,15447.39,17442.08,17455.38,17439.23,36132.35,36082.08,61930.37,61917.25,18171.96,18153.59,18174.35,14134.88,14141.64,14126.11,27557.51,27547.29,27552.86,16945.16,16946.36,16926.71,122665.88,122572.27,8159.48,8173.54,6330.78,6335.74,6329.41,17336.95,17333.79,17334.1,9838.63,9842.84,9830.33,12128.63,12125.13,12144.17,10930.01,10917.86,30.76,28.48
