#csv_version,1.0.0
#measurement,"{""schema_version"":""1.0.0"",""exported_at"":""2024-01-26T18:31:09.689829Z"",""appPlatform"":""ios"",""appVersion"":""1.4.1"",""owner"":{""first_name"":""Fiaz"",""last_name"":""Shah""},""data"":{""id"":17544,""name"":""Dirt Sticker"",""measurement_type"":""take a smell"",""started_at"":""2024-01-26T17:55:07.632Z"",""stopped_at"":""2024-01-26T18:30:29.714Z"",""connection_type"":""bluetooth"",""measurement_size"":""373.2"",""measurement_duration"":2122,""fan_state"":3,""comment"":null,""device_info"":{""id"":754,""mac_address"":""10:97:BD:36:79:14"",""serial_number"":""SI2205-1474"",""device_type_info"":{""id"":1,""name"":""Smell Inspector"",""version"":""B1""},""device_firmware_info"":{""id"":4,""name"":""SI-Firmware"",""version"":""2.1.1""},""detectors_info"":[{""id"":2430,""detector_position"":""X1"",""detector"":{""id"":2421,""slot_id"":""10"",""batch_id"":""0000018"",""production_detector_id"":""00126"",""detector_type"":{""id"":7,""name"":""Type1"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2431,""detector_position"":""X2"",""detector"":{""id"":2424,""slot_id"":""01"",""batch_id"":""0000019"",""production_detector_id"":""00228"",""detector_type"":{""id"":8,""name"":""Type2"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2432,""detector_position"":""X3"",""detector"":{""id"":2422,""slot_id"":""08"",""batch_id"":""0000020"",""production_detector_id"":""00048"",""detector_type"":{""id"":9,""name"":""Type3"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2433,""detector_position"":""X4"",""detector"":{""id"":2423,""slot_id"":""01"",""batch_id"":""0000021"",""production_detector_id"":""00089"",""detector_type"":{""id"":10,""name"":""Type4"",""lower_bound"":0,""upper_bound"":350000}}}]},""measurement_substance_info"":[{""substance_info"":{""id"":3470,""category"":null,""is_public"":false,""name"":""Dirt Sticker"",""parent_substance_id"":null,""odor_name"":null,""taste_name"":null,""additional_information"":null},""concentration_value"":null,""concentration_unit"":null,""state"":null}],""measurement_events"":[]}}"
#fan_level,3
#baseLevel|2024-01-26T17:55:07.632766Z,73897.62,73949.98,51724.49,51761.95,51784.39,49047.85,49051.95,49062.59,38296.4,38222.65,38281.67,10333.11,10324.78,10325.87,11184.08,11181.48,125191.38,125135.52,28318.13,28355.67,28325.85,6463.07,6468.58,6458.9,10857.67,10856.48,10857.72,13656.92,13656.28,13642.25,28853.16,28812.82,59960.91,60041.42,17387.78,17392.24,17390.07,11228.9,11224.34,11224.28,19245.51,19255.59,19230.1,15678.44,15699.71,15691.88,121485.93,121456.23,8630.81,8631.48,6481.73,6473.42,6481.12,21040.98,21062.4,21082.12,13210.37,13210.21,13212.54,16609.31,16611.33,16618.16,11382.1,11385.45,31.39,28.55
#header:timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature
2024-01-26T17:55:07.632766Z,73897.62,73949.98,51724.49,51761.95,51784.39,49047.85,49051.95,49062.59,38296.4,38222.65,38281.67,10333.11,10324.78,10325.87,11184.08,11181.48,125191.38,125135.52,28318.13,28355.67,28325.85,6463.07,6468.58,6458.9,10857.67,10856.48,10857.72,13656.92,13656.28,13642.25,28853.16,28812.82,59960.91,60041.42,17387.78,17392.24,17390.07,11228.9,11224.34,11224.28,19245.51,19255.59,19230.1,15678.44,15699.71,15691.88,121485.93,121456.23,8630.81,8631.48,6481.73,6473.42,6481.12,21040.98,21062.4,21082.12,13210.37,13210.21,13212.54,16609.31,16611.33,16618.16,11382.1,11385.45,31.39,28.55
2024-01-26T17:55:11.080791Z,73839.83,73910.46,51827.32,51836.7,51782.09,49217.39,49195.96,49248.47,38242.95,38314.34,38241.02,10327.19,10313.61,10331.09,11175.89,11187.51,124851.35,125148.33,28353.62,28418.42,28360.27,6482.59,6468.44,6473.66,10889.22,10901.84,10888.61,13683.51,13665.61,13679.03,28851.57,28896.74,59947.49,60033.35,17372.99,17404.58,17382.01,11255.31,11239.94,11249.11,19290.07,19313.19,19284.57,15724.21,15704.24,15715.87,121363.58,121519.23,8620.89,8635.66,6485.86,6493.68,6486.48,21079.74,21041.5,21073.38,13199.05,13212.92,13200.65,16604.68,16594.03,16617.78,11376.6,11390.73,31.46,28.57
2024-01-26T17:55:14.532615Z,73970.43,73966.42,51965.76,51907.79,51925.04,49371.56,49390.21,49391.21,38324.55,38315.41,38320.93,10320.89,10323.89,10320.31,11193.46,11182.17,125185.98,125168.96,28473.58,28529.78,28496.11,6510.07,6496.62,6502.25,10942.04,10952.72,10943.8,13725.41,13721.18,13724.62,28942.61,28970.93,60032.04,60089.37,17406.08,17420.74,17416.45,11283.86,11273.63,11280.53,19366.03,19390.42,19367.99,15756.14,15739.28,15758.86,121478.17,121542.76,8637.87,8648.47,6501.68,6505.59,6496.88,21101.83,21080.76,21096.24,13205.88,13213.03,13200.76,16621.56,16606.99,16625.9,11392.43,11396.72,31.43,28.55
2024-01-26T17:55:17.892826Z,73913.68,73975.53,51967.36,51961.05,51886.25,49524.5,49494.18,49528.96,38311.56,38371.75,38307.23,10329.59,10320.56,10324.98,11199.6,11209.56,125260.09,125372.07,28571.37,28601.66,28581.06,6528.65,6517.02,6521.52,10987.85,10995.43,10988.56,13751.86,13744.0,13750.44,28967.47,29006.63,60034.88,60108.16,17418.61,17438.28,17428.3,11308.8,11296.96,11302.99,19430.83,19448.31,19428.68,15783.84,15767.33,15777.95,121517.63,121620.71,8639.68,8639.48,6507.2,6505.38,6506.96,21086.17,21073.18,21082.73,13194.85,13204.34,13187.37,16595.12,16586.8,16606.71,11379.27,11387.83,31.36,28.59
2024-01-26T17:55:21.341122Z,73965.29,73969.49,51971.93,51969.87,51909.66,49641.12,49697.08,49670.54,38332.38,38321.12,38320.89,10312.54,10314.03,10309.69,11206.69,11194.25,125386.71,125545.63,28605.06,28595.15,28619.98,6541.11,6535.36,6532.56,11019.62,11025.63,11014.95,13776.04,13787.71,13770.32,29000.63,29003.37,60098.05,60064.93,17433.36,17426.9,17437.6,11308.88,11318.87,11324.74,19482.03,19478.22,19478.7,15790.26,15789.39,15792.58,121403.27,121553.52,8630.01,8642.99,6527.61,6517.44,6517.48,21079.5,21070.73,21073.59,13189.39,13185.92,13194.64,16564.89,16580.39,16566.68,11388.17,11377.85,31.39,28.54
2024-01-26T17:55:24.761072Z,73983.71,73882.7,51969.12,51889.79,51912.52,49725.57,49758.5,49741.64,38316.48,38238.65,38320.78,10301.07,10313.55,10302.82,11210.95,11198.65,125449.19,125365.49,28706.17,28692.61,28703.76,6551.71,6554.6,6542.48,11069.4,11055.81,11068.13,13783.74,13805.44,13780.3,29051.67,29006.86,60091.4,60005.89,17455.39,17428.57,17453.55,11329.37,11341.34,11331.67,19542.34,19516.74,19542.96,15802.46,15817.93,15795.46,121591.05,121458.63,8644.76,8631.97,6528.31,6519.02,6525.82,21070.89,21092.17,21070.19,13184.43,13169.02,13180.72,16555.75,16573.6,16549.81,11391.44,11378.14,31.43,28.57
2024-01-26T17:55:28.212187Z,73975.93,73977.05,52099.51,52132.81,52059.9,49977.13,49949.8,49963.06,38341.76,38336.94,38316.94,10308.92,10304.29,10313.91,11209.13,11216.84,125407.22,125575.3,28750.92,28818.29,28778.84,6578.96,6565.63,6571.05,11104.18,11111.17,11103.07,13829.8,13822.04,13838.67,29046.55,29084.24,60043.93,60127.97,17452.43,17473.73,17454.0,11365.61,11358.68,11366.37,19578.95,19605.62,19579.27,15852.18,15829.49,15851.21,121412.04,121541.47,8631.56,8646.79,6528.99,6537.48,6527.93,21086.02,21057.43,21085.75,13152.02,13169.94,13158.87,16565.86,16545.9,16572.94,11377.1,11389.03,31.35,28.55
2024-01-26T17:55:31.659812Z,73881.73,73959.44,52110.41,52140.36,52086.43,50149.43,50122.48,50178.87,38300.17,38356.6,38276.69,10315.96,10305.7,10315.53,11207.94,11222.53,125354.16,125588.3,28853.15,28917.51,28855.42,6596.51,6581.8,6590.49,11142.42,11154.61,11141.85,13864.01,13844.83,13864.92,29086.63,29138.5,60057.25,60115.01,17452.25,17477.21,17457.08,11393.23,11377.56,11392.8,19637.94,19661.44,19632.66,15870.05,15847.86,15875.12,121444.68,121632.0,8633.06,8648.63,6558.53,6551.97,6559.89,21116.68,21145.26,21114.01,13182.34,13182.21,13178.62,16584.95,16587.37,16579.58,11393.72,11382.95,31.3,28.55
2024-01-26T17:55:35.082411Z,73936.36,73915.23,52209.83,52122.13,52168.83,50283.76,50272.49,50273.25,38369.94,38407.95,38371.88,10319.75,10314.98,10314.85,11230.51,11234.03,125625.49,125641.05,28943.86,28966.29,28962.12,6616.04,6606.06,6607.5,11190.02,11193.11,11191.75,13889.14,13887.45,13893.08,29165.9,29173.0,60163.23,60201.75,17492.28,17491.45,17482.61,11415.06,11407.82,11405.59,19712.24,19716.53,19708.5,15890.28,15874.63,15878.83,121621.4,121644.39,8651.21,8658.06,6559.97,6558.44,6555.17,21124.91,21113.07,21124.19,13174.56,13180.66,13181.66,16563.93,16576.45,16576.78,11393.32,11392.71,31.33,28.55
2024-01-26T17:55:38.532996Z,73953.38,73960.88,52207.91,52228.65,52177.78,50429.32,50426.88,50458.83,38339.92,38388.35,38326.61,10324.17,10306.13,10314.29,11223.61,11236.67,125558.18,125710.26,28967.56,28974.86,28990.62,6628.24,6614.57,6618.23,11213.53,11226.45,11211.56,13903.49,13893.93,13909.86,29151.24,29184.84,60123.54,60222.71,17479.3,17487.37,17477.42,11436.63,11418.92,11431.47,19742.65,19768.01,19744.13,15899.98,15882.35,15897.71,121513.45,121653.38,8642.5,8654.91,6565.63,6568.72,6561.26,21143.9,21111.09,21144.25,13176.22,13193.81,13179.44,16605.22,16592.06,16607.16,11385.26,11399.56,31.4,28.57
