#csv_version,1.0.0
#measurement,"{""schema_version"":""1.0.0"",""exported_at"":""2024-01-26T16:53:06.667715Z"",""appPlatform"":""ios"",""appVersion"":""1.4.1"",""owner"":{""first_name"":""Fiaz"",""last_name"":""Shah""},""data"":{""id"":17542,""name"":""Hot Wings Sticker"",""measurement_type"":""take a smell"",""started_at"":""2024-01-26T16:19:24.466Z"",""stopped_at"":""2024-01-26T16:52:24.201Z"",""connection_type"":""bluetooth"",""measurement_size"":""361.8"",""measurement_duration"":1979,""fan_state"":3,""comment"":null,""device_info"":{""id"":754,""mac_address"":""10:97:BD:36:79:14"",""serial_number"":""SI2205-1474"",""device_type_info"":{""id"":1,""name"":""Smell Inspector"",""version"":""B1""},""device_firmware_info"":{""id"":4,""name"":""SI-Firmware"",""version"":""2.1.1""},""detectors_info"":[{""id"":2430,""detector_position"":""X1"",""detector"":{""id"":2421,""slot_id"":""10"",""batch_id"":""0000018"",""production_detector_id"":""00126"",""detector_type"":{""id"":7,""name"":""Type1"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2431,""detector_position"":""X2"",""detector"":{""id"":2424,""slot_id"":""01"",""batch_id"":""0000019"",""production_detector_id"":""00228"",""detector_type"":{""id"":8,""name"":""Type2"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2432,""detector_position"":""X3"",""detector"":{""id"":2422,""slot_id"":""08"",""batch_id"":""0000020"",""production_detector_id"":""00048"",""detector_type"":{""id"":9,""name"":""Type3"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2433,""detector_position"":""X4"",""detector"":{""id"":2423,""slot_id"":""01"",""batch_id"":""0000021"",""production_detector_id"":""00089"",""detector_type"":{""id"":10,""name"":""Type4"",""lower_bound"":0,""upper_bound"":350000}}}]},""measurement_substance_info"":[{""substance_info"":{""id"":3468,""category"":null,""is_public"":false,""name"":""Hot Wings Sticker"",""parent_substance_id"":null,""odor_name"":null,""taste_name"":null,""additional_information"":null},""concentration_value"":null,""concentration_unit"":null,""state"":null}],""measurement_events"":[]}}"
#fan_level,3
#baseLevel|2024-01-26T16:19:24.466523Z,41484.13,41528.4,3191.24,3190.86,3191.03,3213.62,3207.89,3214.16,8716.61,8728.21,8716.79,2430.01,2429.05,2426.68,5200.63,5194.08,111691.19,111585.73,15426.45,15395.61,15416.99,3452.74,3451.84,3451.56,4360.08,4360.07,4359.75,6457.64,6459.82,6452.23,20269.53,20250.03,40686.16,40699.47,9539.88,9551.76,9538.56,5202.54,5203.21,5204.06,8049.0,8046.09,8044.27,6022.22,6012.24,6019.75,95759.37,95675.33,5182.19,5176.94,1756.08,1754.36,1752.9,4725.59,4719.91,4726.29,2834.19,2834.1,2833.6,2920.22,2915.65,2920.04,6061.06,6068.17,41.3,24.56
#header:timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature
2024-01-26T16:19:24.466523Z,41484.13,41528.4,3191.24,3190.86,3191.03,3213.62,3207.89,3214.16,8716.61,8728.21,8716.79,2430.01,2429.05,2426.68,5200.63,5194.08,111691.19,111585.73,15426.45,15395.61,15416.99,3452.74,3451.84,3451.56,4360.08,4360.07,4359.75,6457.64,6459.82,6452.23,20269.53,20250.03,40686.16,40699.47,9539.88,9551.76,9538.56,5202.54,5203.21,5204.06,8049.0,8046.09,8044.27,6022.22,6012.24,6019.75,95759.37,95675.33,5182.19,5176.94,1756.08,1754.36,1752.9,4725.59,4719.91,4726.29,2834.19,2834.1,2833.6,2920.22,2915.65,2920.04,6061.06,6068.17,41.3,24.56
2024-01-26T16:19:27.495819Z,41540.42,41576.79,3192.2,3191.48,3191.87,3214.3,3213.78,3213.89,8715.73,8708.89,8714.79,2429.52,2428.92,2429.3,5206.04,5200.75,111741.73,111792.68,15419.97,15400.12,15410.5,3453.11,3452.26,3451.64,4364.38,4360.63,4361.27,6455.89,6455.94,6451.47,20263.73,20246.37,40680.71,40648.46,9536.35,9520.74,9536.36,5197.32,5201.95,5195.69,8050.23,8036.41,8048.09,6013.35,6020.27,6012.4,95753.23,95631.73,5176.12,5169.43,1758.42,1756.78,1754.89,4726.12,4725.82,4721.46,2829.92,2837.04,2837.31,2921.52,2921.21,2920.75,6069.07,6061.31,41.13,24.58
2024-01-26T16:19:30.525672Z,41559.11,41524.96,3191.15,3190.57,3186.32,3209.33,3213.59,3213.9,8710.1,8712.43,8708.14,2425.98,2425.38,2428.97,5199.88,5199.62,111663.91,111640.99,15403.8,15408.9,15412.8,3451.58,3447.64,3455.6,4359.84,4364.84,4360.21,6456.46,6458.76,6457.77,20256.29,20260.7,40640.11,40678.98,9525.03,9537.29,9552.82,5202.35,5207.35,5203.18,8048.83,8049.62,8048.41,6019.55,6020.47,6014.49,95737.49,95595.2,5175.28,5181.93,1757.42,1754.0,1754.16,4719.41,4724.59,4720.15,2829.48,2835.23,2837.06,2920.25,2919.55,2919.87,6063.07,6062.13,40.56,24.6
2024-01-26T16:19:33.615576Z,41532.68,41520.13,3190.4,3189.99,3186.05,3210.28,3216.72,3218.8,8713.1,8712.87,8712.85,2427.98,2426.82,2430.94,5199.03,5204.66,111603.9,111602.9,15420.16,15423.94,15414.95,3447.95,3447.86,3453.99,4360.72,4364.46,4359.62,6456.29,6457.67,6456.76,20267.28,20263.86,40653.26,40651.28,9522.3,9540.07,9521.45,5203.79,5208.36,5201.48,8050.57,8051.04,8048.59,6020.02,6017.41,6013.15,95663.2,95570.44,5174.83,5169.63,1756.12,1754.43,1754.61,4719.33,4724.72,4719.76,2832.9,2832.51,2833.24,2919.2,2919.46,2920.79,6066.05,6061.72,40.22,24.61
2024-01-26T16:19:36.646730Z,41514.95,41522.82,3190.86,3186.08,3184.67,3218.02,3216.35,3212.81,8708.14,8710.09,8696.89,2425.24,2430.28,2431.25,5197.89,5197.18,111730.87,111773.71,15428.95,15430.52,15420.22,3447.56,3456.55,3452.63,4357.93,4357.39,4354.91,6457.58,6446.31,6457.02,20282.69,20259.96,40685.55,40664.29,9555.6,9535.56,9552.69,5203.69,5208.56,5202.96,8058.34,8045.65,8057.38,6017.89,6026.23,6018.3,95809.91,95724.24,5180.49,5175.25,1756.32,1754.84,1754.79,4722.61,4720.8,4723.27,2832.94,2832.21,2832.28,2920.08,2917.99,2914.33,6062.21,6060.9,39.9,24.64
2024-01-26T16:19:39.675780Z,41522.24,41546.3,3195.42,3195.08,3189.93,3212.88,3212.45,3213.02,8724.34,8711.01,8709.94,2429.45,2429.63,2430.08,5204.03,5197.4,111861.41,111800.53,15429.57,15413.14,15433.75,3458.38,3457.28,3450.96,4355.2,4358.3,4354.3,6459.46,6450.09,6458.41,20236.69,20262.82,40730.62,40673.48,9536.96,9536.06,9535.45,5203.31,5202.01,5199.57,8044.58,8034.15,8044.76,6010.21,6018.55,6010.31,95620.54,95490.12,5174.83,5166.49,1758.19,1756.33,1754.87,4722.53,4721.92,4719.79,2828.25,2827.89,2835.51,2923.94,2918.5,2918.51,6054.0,6060.19,40.52,24.67
2024-01-26T16:19:42.736303Z,41478.68,41524.1,3189.16,3189.74,3189.61,3212.09,3207.72,3207.69,8708.46,8723.92,8708.62,2429.18,2429.2,2429.61,5196.57,5191.22,111633.27,111519.45,15403.13,15384.86,15401.22,3453.2,3452.42,3451.74,4357.99,4357.27,4357.37,6449.83,6458.88,6448.98,20261.51,20230.11,40652.67,40632.17,9534.65,9534.53,9533.75,5208.86,5201.38,5207.89,8044.33,8052.97,8045.3,6019.82,6019.57,6020.31,95650.27,95702.32,5166.58,5174.61,1755.54,1753.99,1753.93,4722.68,4721.62,4722.4,2832.2,2831.7,2831.62,2919.24,2917.87,2918.42,6060.71,6053.7,40.01,24.68
2024-01-26T16:19:45.766176Z,41509.24,41547.04,3194.3,3189.54,3190.06,3213.56,3213.13,3213.28,8706.37,8706.21,8707.61,2428.45,2428.88,2429.56,5201.59,5195.44,111768.89,111572.71,15412.34,15412.87,15408.72,3452.57,3451.24,3450.42,4361.67,4356.66,4361.7,6454.93,6454.79,6456.2,20258.7,20258.81,40617.45,40609.42,9532.56,9519.47,9534.04,5195.39,5200.55,5195.72,8043.8,8031.42,8041.98,6009.63,6019.39,6008.57,95657.88,95540.0,5172.54,5168.67,1754.25,1755.34,1755.86,4720.96,4720.49,4721.72,2830.74,2828.3,2833.39,2922.24,2917.88,2919.69,6055.09,6062.51,39.72,24.69
2024-01-26T16:19:48.826710Z,41490.69,41520.27,3188.41,3188.15,3188.5,3213.13,3208.81,3207.46,8705.9,8721.91,8705.34,2428.18,2427.81,2428.49,5195.13,5188.31,111580.87,111677.79,15414.21,15427.51,15420.45,3451.66,3450.36,3450.13,4356.98,4351.65,4357.19,6462.74,6452.18,6462.94,20259.4,20278.45,40641.07,40676.92,9533.38,9551.84,9534.01,5206.59,5200.54,5206.4,8041.23,8053.49,8041.9,6023.09,6014.12,6024.6,95617.81,95732.41,5170.4,5178.45,1757.22,1755.53,1753.55,4717.54,4719.31,4715.06,2835.39,2834.56,2830.13,2918.41,2919.03,2919.41,6069.06,6061.43,39.52,24.72
2024-01-26T16:19:51.854800Z,41507.11,41509.6,3188.38,3183.57,3183.85,3218.35,3216.66,3213.8,8704.78,8703.12,8698.18,2425.27,2425.3,2430.84,5194.26,5193.62,111653.2,111537.09,15409.88,15395.08,15390.76,3446.19,3445.52,3450.07,4355.3,4356.88,4354.1,6457.0,6449.15,6457.77,20233.86,20261.33,40636.65,40671.16,9516.88,9533.24,9516.29,5198.49,5192.6,5199.19,8030.81,8040.67,8029.54,6017.67,6010.43,6017.76,95499.3,95590.94,5165.25,5171.26,1755.59,1754.16,1754.22,4723.51,4717.8,4718.66,2830.64,2830.24,2830.17,2917.97,2916.63,2918.29,6060.61,6053.81,39.39,24.74
